model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,deployed_in_chatbot,notes
TF-IDF + LinearSVC,0.37142857142857144,0.19747899159663862,0.22745098039215686,0.20261437908496732,0.31768707482993197,0.37142857142857144,0.3295238095238095,True,Main classifier for LogiBot. Refit on full labelled dataset after holdout evaluation so short-support phrases are remembered.
TF-IDF + Logistic Regression,0.34285714285714286,0.20196078431372547,0.20784313725490197,0.18960190136660723,0.3380952380952381,0.34285714285714286,0.3188744588744588,False,Baseline comparison model only — trained on the same 80/20 split and the same shared TF-IDF vectorizer. NOT used for live chat responses (LogiBot keeps LinearSVC as its main intent classifier per project scope).
